100 400
72 93 11 
57 49 19 
64 17 9 
73 82 4 
9 81 3 
53 78 6 
96 97 4 
62 89 16 
97 95 16 
59 13 11 
13 31 1 
31 24 11 
31 66 12 
2 44 17 
83 100 19 
57 54 14 
77 70 6 
61 31 20 
24 33 11 
67 21 8 
77 19 10 
52 35 11 
64 32 15 
92 45 16 
80 86 16 
55 10 20 
86 55 7 
75 49 2 
31 35 4 
96 83 4 
43 97 19 
16 90 3 
13 5 19 
64 11 10 
71 14 7 
58 53 14 
5 99 4 
3 64 6 
45 55 3 
10 16 10 
99 66 1 
8 83 16 
40 60 12 
99 64 17 
69 2 5 
4 91 14 
66 65 3 
40 27 10 
90 77 8 
87 93 17 
44 95 20 
90 52 19 
75 97 17 
26 32 16 
56 34 7 
12 31 20 
78 4 5 
4 43 18 
80 34 17 
76 6 18 
48 23 7 
59 28 15 
85 90 9 
81 37 4 
81 80 11 
79 15 10 
19 79 6 
61 24 13 
13 71 20 
3 87 6 
56 63 16 
9 94 19 
28 17 16 
72 96 19 
84 100 17 
43 9 8 
36 59 6 
30 95 2 
8 92 3 
60 90 1 
28 78 20 
48 33 11 
12 88 20 
81 75 19 
91 19 4 
25 78 18 
9 11 12 
60 16 5 
69 35 12 
92 47 10 
17 6 14 
34 62 13 
21 58 14 
61 75 11 
33 14 9 
74 49 11 
42 62 5 
94 3 6 
24 45 17 
1 48 18 
40 56 18 
8 98 13 
66 17 9 
82 33 12 
90 41 20 
92 83 16 
41 98 1 
41 44 14 
86 66 1 
36 74 16 
39 65 8 
19 55 2 
3 61 6 
82 89 14 
29 48 15 
88 33 3 
85 23 1 
7 85 20 
83 10 17 
31 78 12 
41 99 6 
55 99 3 
45 26 2 
12 84 15 
28 4 5 
97 24 20 
91 83 13 
8 37 3 
36 85 5 
16 76 20 
54 66 4 
6 25 13 
80 64 7 
51 90 20 
88 28 8 
85 69 17 
8 72 19 
16 47 6 
88 2 1 
19 47 3 
54 19 9 
69 21 6 
90 96 9 
68 86 19 
34 68 12 
27 39 19 
96 55 4 
54 33 17 
31 60 17 
53 46 8 
76 44 3 
41 15 17 
99 36 13 
95 48 4 
70 6 12 
36 84 14 
50 30 11 
72 70 2 
74 77 14 
8 62 11 
50 4 1 
11 10 20 
74 58 20 
50 70 10 
89 5 2 
37 88 3 
6 12 16 
19 36 11 
45 18 4 
63 13 6 
19 48 1 
86 84 13 
54 85 10 
10 90 16 
6 73 10 
82 80 1 
92 91 13 
45 81 13 
